song,artist,popularity,release_year,danceability,energy,loudness,tempo,key
Sweater Weather,The Neighbourhood,89,2013,0.612,0.807,-2.81,124.053,10
Another Love,Tom Odell,88,2013,0.445,0.537,-8.532,122.769,4
Without Me,Eminem,87,2002,0.908,0.669,-2.827,112.238,7
The Real Slim Shady,Eminem,86,2000,0.949,0.661,-4.244,104.504,5
lovely (with Khalid),Billie Eilish,86,2018,0.351,0.296,-10.109,115.284,4
Wait a Minute!,WILLOW,86,2015,0.764,0.705,-5.279,101.003,3
Circles,Post Malone,85,2019,0.695,0.762,-3.497,120.042,0
The Nights,Avicii,85,2014,0.527,0.835,-5.298,125.983,6
Perfect,Ed Sheeran,85,2017,0.599,0.448,-6.312,95.05,8
Locked out of Heaven,Bruno Mars,85,2012,0.726,0.698,-4.165,143.994,5
'Till I Collapse,Eminem,85,2002,0.548,0.847,-3.237,171.447,1
Daddy Issues,The Neighbourhood,85,2015,0.588,0.521,-9.461,85.012,10
Shape of You,Ed Sheeran,84,2017,0.825,0.652,-3.183,95.977,1
One Dance,Drake,84,2016,0.792,0.625,-5.609,103.967,1
All of Me,John Legend,84,2013,0.422,0.264,-7.064,119.93,8
Lost in the Fire (feat. The Weeknd),Gesaffelstein,84,2019,0.658,0.671,-12.21,100.966,2
Why'd You Only Call Me When You're High?,Arctic Monkeys,84,2013,0.691,0.631,-6.478,92.004,2
Do I Wanna Know?,Arctic Monkeys,84,2013,0.548,0.532,-7.596,85.03,5
Someone You Loved,Lewis Capaldi,84,2019,0.501,0.405,-5.679,109.891,1
No Lie,Sean Paul,84,2018,0.742,0.882,-2.862,102.04,7
Lucid Dreams,Juice WRLD,84,2018,0.511,0.566,-7.23,83.903,6
Bored,Billie Eilish,84,2017,0.614,0.318,-12.695,119.959,7
The Hills,The Weeknd,84,2015,0.585,0.564,-7.063,113.003,0
Stan,Eminem,83,2000,0.78,0.768,-4.325,80.063,6
Closer,The Chainsmokers,83,2016,0.748,0.524,-5.599,95.01,8
Something Just Like This,The Chainsmokers,83,2017,0.617,0.635,-6.769,103.019,11
rockstar (feat. 21 Savage),Post Malone,83,2018,0.585,0.52,-6.136,159.801,5
The Less I Know The Better,Tame Impala,83,2015,0.64,0.74,-4.083,116.879,4
Stressed Out,Twenty One Pilots,83,2015,0.734,0.637,-5.677,169.977,4
goosebumps,Travis Scott,83,2016,0.841,0.728,-3.37,130.049,7
Night Changes,One Direction,83,2014,0.672,0.52,-7.747,120.001,8
When I Was Your Man,Bruno Mars,83,2012,0.612,0.28,-8.648,72.795,0
bad guy,Billie Eilish,83,2019,0.701,0.425,-10.965,135.128,7
In the End,Linkin Park,83,2000,0.556,0.864,-5.87,105.143,3
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,83,2013,0.794,0.811,-8.966,116.047,6
