name,artist,popularity,release_year,danceability,energy,loudness,tempo,key
Levitating (feat. DaBaby),Dua Lipa,79,2020,0.702,0.825,-3.787,102.977,6
Physical,Dua Lipa,51,2020,0.647,0.844,-3.756,146.967,0
Don't Start Now,Dua Lipa,49,2020,0.793,0.793,-4.521,123.95,11
Break My Heart,Dua Lipa,50,2020,0.73,0.729,-3.434,113.011,4
Prisoner (feat. Dua Lipa),Miley Cyrus,55,2021,0.769,0.659,-3.899,127.992,3
GIRL LIKE ME,Black Eyed Peas,66,2020,0.965,0.485,-8.784,124.025,2
MAMACITA,Black Eyed Peas,56,2020,0.878,0.626,-6.945,105.046,2
Let's Love,David Guetta,60,2020,0.662,0.868,-4.025,92.998,5
Higher Love,Kygo,75,2020,0.693,0.678,-7.159,103.952,8
No Time To Die,Billie Eilish,74,2020,0.344,0.22,-13.218,70.895,4
Savage Remix (feat. Beyoncé),Megan Thee Stallion,57,2020,0.753,0.745,-4.776,169.02,10
drivers license,Olivia Rodrigo,19,2021,0.585,0.436,-8.761,143.874,10
Blinding Lights,The Weeknd,87,2020,0.513,0.73,-5.94,171.001,1
In Your Eyes,The Weeknd,74,2020,0.667,0.719,-5.371,100.019,7
Save Your Tears,The Weeknd,84,2020,0.679,0.825,-5.487,118.049,0
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,78,2021,0.677,0.696,-6.181,90.03,0
Feel Me,Selena Gomez,46,2020,0.71,0.808,-6.703,99.989,2
WAP (feat. Megan Thee Stallion),Cardi B,75,2020,0.935,0.454,-7.509,133.073,1
Lonely (with benny blanco),Justin Bieber,72,2021,0.619,0.241,-7.102,79.461,11
Rain On Me (with Ariana Grande),Lady Gaga,70,2020,0.672,0.855,-3.764,123.056,9
"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",Ariana Grande,62,2021,0.659,0.662,-5.768,109.957,5
Hold On,Justin Bieber,63,2021,0.658,0.634,-5.797,139.98,1
Yummy,Justin Bieber,67,2020,0.677,0.506,-6.652,145.843,9
Diamonds,Sam Smith,64,2020,0.637,0.666,-6.773,104.02,10
Dancing With A Stranger (with Normani),Sam Smith,75,2020,0.741,0.52,-7.513,102.998,8
Midnight Sky,Miley Cyrus,69,2020,0.699,0.805,-5.535,109.976,4
Say So,Doja Cat,73,2019,0.787,0.673,-4.583,110.962,11
Baila Conmigo (with Rauw Alejandro),Selena Gomez,63,2021,0.823,0.544,-7.132,149.903,5
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,75,2021,0.65,0.825,-4.645,118.091,0
Follow You,Imagine Dragons,61,2021,0.542,0.732,-5.956,124.912,9
Never Really Over,Katy Perry,59,2020,0.77,0.881,-4.776,99.995,8
Savage Love (Laxed - Siren Beat),Jawsh 685,70,2020,0.767,0.481,-8.52,150.076,0
Take You Dancing,Jason Derulo,67,2020,0.789,0.711,-4.248,112.985,2
Cool Me Down,Gromee,34,2021,0.874,0.758,-5.53,125.974,6
Love Again,Dua Lipa,62,2021,0.659,0.667,-4.668,115.982,11
Leave Before You Love Me (with Jonas Brothers),Marshmello,77,2021,0.721,0.738,-4.77,119.976,7
Cold Heart - PNAU Remix,Elton John,79,2021,0.796,0.798,-6.312,116.032,1
ME PASE (feat. Farruko),Enrique Iglesias,53,2021,0.745,0.904,-2.045,93.977,6
Take My Breath - Single Version,The Weeknd,60,2021,0.748,0.74,-6.01,121.004,8
