name,artist,popularity,release_year,danceability,energy,loudness,tempo,key
Beautiful Girls,Sean Kingston,77,2007,0.762,0.661,-6.075,130.009,1
TiK ToK,Kesha,0,2010,0.755,0.832,-2.741,120.032,2
"Hey, Soul Sister",Train,1,2009,0.675,0.885,-4.432,97.03,1
California Gurls - feat. Snoop Dogg,Katy Perry,0,2010,0.791,0.76,-3.785,125.04,0
Telephone,Lady Gaga,0,2009,0.827,0.821,-5.864,122.017,3
Dynamite,Taio Cruz,70,2010,0.754,0.804,-3.177,119.968,4
Just The Way You Are,Bruno Mars,0,2010,0.637,0.843,-5.413,109.012,5
Replay,Iyaz,70,2009,0.706,0.751,-6.323,91.031,9
Your Love Is My Drug,Kesha,0,2010,0.829,0.607,-3.876,120.044,1
Fireflies,Owl City,75,2009,0.512,0.662,-6.797,180.114,3
Ridin' Solo,Jason Derulo,61,2010,0.557,0.831,-4.02,89.677,9
Baby,Justin Bieber,81,2010,0.728,0.859,-5.237,65.043,5
Mine,Taylor Swift,52,2010,0.624,0.757,-2.94,121.07,7
Eenie Meenie,Justin Bieber,0,2010,0.718,0.588,-4.192,121.22,1
Super Bass,Nicki Minaj,1,2010,0.72,0.861,-4.339,126.991,11
Umbrella,Rihanna,80,2008,0.585,0.828,-4.603,174.034,1
Airplanes (feat. Hayley Williams of Paramore),B.o.B,73,2010,0.66,0.867,-4.285,93.033,6
Last Friday Night (T.G.I.F.),Katy Perry,48,2010,0.652,0.81,-3.789,126.022,3
Price Tag,Jessie J,59,2011,0.637,0.832,-3.945,175.011,5
So What,P!nk,0,2008,0.535,0.887,-3.106,126.01,11
Halo,Beyoncé,71,2008,0.508,0.72,-5.908,79.983,11
Firework,Katy Perry,52,2010,0.638,0.831,-5.039,124.071,8
The Lazy Song,Bruno Mars,71,2010,0.794,0.711,-5.124,174.915,8
I'm Yours,Jason Mraz,74,2008,0.703,0.444,-9.331,150.96,11
Naturally,Selena Gomez & The Scene,62,2009,0.605,0.902,-5.406,132.612,10
Circus,Britney Spears,77,2008,0.791,0.733,-5.215,114.98,6
No One,Alicia Keys,0,2007,0.649,0.552,-5.419,89.969,1
The Climb,Miley Cyrus,63,2009,0.327,0.588,-6.611,161.074,4
Want U Back,Cher Lloyd,59,2012,0.694,0.891,-2.94,97.939,9
What Makes You Beautiful,One Direction,1,2012,0.729,0.771,-2.451,125.011,4
Everybody Talks,Neon Trees,46,2012,0.471,0.924,-3.906,154.962,8
One Thing,One Direction,0,2012,0.711,0.721,-3.79,126.988,2
We Are Young (feat. Janelle Monáe),fun.,71,2012,0.378,0.638,-5.576,184.086,10
Girl on Fire,Alicia Keys,74,2012,0.482,0.706,-5.762,92.513,9
We Can't Stop,Miley Cyrus,75,2013,0.613,0.622,-5.794,80.003,1
Somebody To Love,Justin Bieber,70,2010,0.714,0.833,-5.239,129.964,5
Never Say Never,Justin Bieber,72,2011,0.739,0.807,-5.063,97.048,0
Beauty And A Beat,Justin Bieber,74,2012,0.602,0.843,-4.831,128.003,0
Who Says,Selena Gomez & The Scene,71,2011,0.682,0.927,-2.915,101.019,4
Want to Want Me,Jason Derulo,73,2015,0.775,0.68,-5.508,114.025,0
In My Head,Jason Derulo,59,2010,0.762,0.733,-4.175,110.001,0
It Girl,Jason Derulo,67,2011,0.668,0.718,-4.736,91.993,1
Whatcha Say,Jason Derulo,65,2010,0.615,0.711,-5.507,144.034,11
Versace on the Floor,Bruno Mars,79,2016,0.578,0.574,-6.209,174.152,2
Take A Bow,Rihanna,73,2008,0.518,0.467,-7.536,79.965,9
Yo (Excuse Me Miss),Chris Brown,71,2005,0.536,0.612,-5.847,86.768,4
Say Goodbye,Chris Brown,67,2005,0.8,0.502,-6.062,115.091,1
With You,Chris Brown,74,2007,0.662,0.693,-4.298,86.009,3
Do You Remember,Jay Sean,0,2009,0.852,0.673,-4.86,125.829,11
Nothin' on You (feat. Bruno Mars),B.o.B,48,2010,0.688,0.853,-5.814,103.993,10
DJ Got Us Fallin' In Love (feat. Pitbull),USHER,81,2010,0.663,0.861,-3.398,119.963,7
Down,Jay Sean,0,2009,0.654,0.684,-4.509,66.001,2
